name,t_cases,n_cases,t_deaths,n_deaths,t_recovered,active_cases,serious_condition,n_test,Continent,last_updated_on_website,time_date_now
World,"1,983,219","+59,371","125,145","+5,527","466,606","1,391,468","50,943",,All,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
North America,"645,389","+18,325","26,828","+1,716","49,057","569,504","13,935",,North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Asia,"321,049","+10,809","11,721",+370,"155,669","153,659","6,475",,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Italy,"162,488","+2,972","21,067 ",+602,"37,130","104,291","3,186","1,073,689",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Germany,"131,359","+1,287","3,294 ",+100,"68,200","59,865","4,288","1,317,887",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
China,"82,249",+89,"3,341 ",,"77,738","1,170",116,,Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Turkey,"65,111","+4,062","1,403 ",+107,"4,799","58,909","1,809","443,626",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Belgium,"31,119",+530,"4,157 ",+254,"6,868","20,094","1,223","102,151",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Canada,"26,897","+1,217",898 ,+118,"8,172","17,827",557,"437,475",North America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Brazil,"24,232",+802,"1,378 ",+50,"3,046","19,808",296,"62,985",South America,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Portugal,"17,448",+514,567 ,+32,347,"16,534",218,"182,707",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
Austria,"14,226",+185,384 ,+16,"7,633","6,209",243,"151,796",Europe,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
India,"11,487","+1,034",393 ,+35,"1,359","9,735",,"206,212",Asia,"April 14, 2020, 19:07 GMT",2020-04-14 22:53:07.096600
